fish_population_1,fish_population_2
8.029439922971834,8.763006259013569
9.254277565299693,7.812171389611088
6.671020249777687,9.073988260155925
9.143353641065193,8.164659728304391
9.147708552122346,8.155662645192663
2.511192014758144,9.671766209157031
6.739632408600929,9.056782327777704
9.164950561382115,8.117714861933308
8.386835022203902,8.654760585457293
6.759433166620468,9.052321416452655
8.491693445717196,8.617729658232303
8.917092667803537,8.415214678539476
6.7949227768622436,9.052031886978643
8.842604219886761,8.46074389438178
8.268705974656196,8.69351683577195
9.325575081140794,7.447447969905447
9.209463787777704,7.982034863637628
8.234210341249979,8.705841091167073
8.595981966663377,8.57856619273846
6.205041994089122,9.157579443135944
8.554919846991195,8.59566127380539
9.098510550247626,8.24714084584655
9.23912526901969,7.871138506649841
7.907960930917494,8.799393096881955
7.488836974960502,8.904054508699945
8.34657705108213,8.665995266643097
8.219383792998467,8.70947611255181
3.7587176504741917,9.516328483500423
7.354496480598986,8.93492396681867
9.07226739394354,8.276979753238136
9.313827804593135,7.512944360563432
9.056327030075543,8.29995677947926
8.141133543751204,8.735867928989899
6.726658373627102,9.06033290336516
8.981769770147862,8.370057676998142
7.094013857402272,8.988097941962765
9.121760346243212,8.206498307176961
9.00787220575496,8.343745543003589
8.85491811153765,8.454718846280636
9.172883810755126,8.089808286655975
7.3714444261213865,8.927396915866955
8.068527974744795,8.753931504785239
8.780407073066616,8.495316991971388
9.267775436095922,7.755604648444125
9.244297515561891,7.851816698419821
8.942390498936504,8.39623784594393
9.228106739788506,7.893957914829597
8.775120448985694,8.497213310195097
0.5621347400080654,9.87199172792983
6.350418723133098,9.131729026600782
9.184409742819557,8.051083854674262
8.883197938329067,8.435067276988628
8.891428653789914,8.430793060780173
8.992218851069484,8.362018332108587
8.74787813806095,8.512208615062006
8.128814144597008,8.738452376724615
5.357826069178463,9.299311120385768
6.140350860104284,9.170304878257737
6.655434335348274,9.074906368282278
8.567409934861312,8.58154476782821
0.5091172215494918,9.893950604490698
8.800666342737125,8.48453207879194
0.8819199325165441,9.827537402432066
8.99722764512233,8.352636757586788
9.114673541866685,8.211741662721934
8.499796568191575,8.614922596773132
9.003862233600337,8.347468403207436
8.852832494627798,8.455760751601709
9.141734975288786,8.165649965139782
9.122877993472748,8.20582214300501
7.712433443187543,8.847262442276497
8.700984764933459,8.532442544965438
6.438291535242037,9.117279274575683
6.111621869050384,9.173867750898149
9.342220424730101,7.3112966883771495
5.720471341453635,9.235988427571929
8.420499046616536,8.645804317174825
9.03831420703309,8.320249505350528
8.536248138557049,8.601627462442108
7.003770894554949,9.009535019491484
4.356382224663337,9.44234572631974
6.7074070500385075,9.064245941862632
6.883031389540975,9.029878124064034
7.21940382729368,8.96536965409139
9.189665775777174,8.043339205867834
7.777862473374038,8.8317590296867
8.803235368772667,8.483351855658674
9.331786866098607,7.400563134234953
6.997388978904952,9.010550055105348
8.812708351465291,8.472751669358502
6.384023042307292,9.122536699546286
7.687147526495054,8.857437154621534
7.997339728335361,8.772926263890021
7.967520330810072,8.785033148302979
