0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,upstream_flooding,water_demand
9,6,5,5,6,5,5,6,5,4,6,5,6,10,7,9,5,5,6,4,4,4,4,6,8,5,5,6,9,4,7,4,6,4,5,6,6,5,4,5,7,7,5,5,6,4,10,7,5,3,5,7,4,3,5,6,4,4,5,10,7,7,4,4,7,4,6,5,5,5,9,6,5,3,5,7,4,10,5,5,4,6,4,6,6,6,6,8,7,6,4,6,4,6,5,3,7,6,3,5,0.0,-9.83144639
6,5,5,5,5,4,5,5,5,5,6,6,6,9,8,9,5,5,4,4,5,5,4,6,7,4,5,5,6,8,6,7,6,4,4,6,6,6,4,5,7,7,5,5,7,5,10,7,5,6,5,7,4,4,5,6,7,5,4,6,7,4,4,7,6,5,6,4,5,4,6,6,5,4,5,4,7,5,6,6,7,4,3,4,4,5,5,9,7,6,4,7,4,7,4,3,4,7,4,4,-0.5056608300000005,-9.53144639
8,5,5,6,6,7,6,5,6,5,5,5,6,5,6,9,5,5,7,4,5,9,7,6,6,4,5,7,5,4,4,5,6,5,4,7,7,5,4,5,7,4,5,5,6,4,5,7,5,6,4,7,4,4,7,7,7,4,5,7,7,6,5,4,7,4,6,5,7,5,6,6,6,4,7,7,5,10,5,10,5,6,6,5,6,7,6,10,9,6,5,9,7,4,5,3,5,7,3,5,-0.06855361000000017,-9.73144639
7,5,5,5,5,6,6,5,5,4,6,5,6,5,5,9,4,4,7,3,5,5,6,6,7,5,7,6,9,6,5,5,6,4,5,6,5,5,4,5,6,4,5,6,5,4,5,7,3,7,5,7,7,5,4,6,7,4,5,6,7,6,4,4,7,7,6,5,7,5,9,5,5,3,5,5,4,10,7,5,4,6,5,6,6,4,5,10,6,7,7,6,4,6,4,4,6,7,4,10,-0.2371072200000003,-9.63144639
5,5,5,5,5,4,6,5,6,4,6,5,6,9,6,6,5,4,4,4,5,9,6,7,7,4,6,5,9,6,6,5,5,6,4,6,5,6,4,5,6,4,5,6,5,4,6,7,5,6,5,7,4,4,7,6,7,4,5,7,7,5,4,5,6,4,6,4,7,4,8,6,10,4,5,4,5,5,6,5,4,6,6,9,6,4,4,10,6,7,4,4,4,6,6,4,5,7,4,10,-0.8742144400000007,-9.43144639
