utility,reliability
1.3254354498615777,0.16161616161616163
1.2341920729214657,0.20202020202020207
1.4708962830970334,0.10101010101010101
0.525661446120838,0.8888888888888874
1.0136571866280573,0.3333333333333335
0.5888640244183986,0.5656565656565656
1.3627947107177971,0.1414141414141414
0.8369671189367628,0.47474747474747503
1.2240210323565675,0.21212121212121218
1.155380597450166,0.2626262626262627
1.526565665117831,0.08080808080808081
1.5524130606014739,0.07070707070707072
1.188061639184018,0.2222222222222223
0.944700662616652,0.38383838383838403
0.7717173680501378,0.5252525252525254
0.8603217416193103,0.4646464646464649
0.5236677817214022,0.999999999999998
0.7961113335082738,0.5151515151515154
1.2573920678970087,0.19191919191919196
1.4557593917651557,0.1111111111111111
1.1092353671028827,0.2727272727272728
1.3969981412013108,0.1313131313131313
1.496718269634188,0.09090909090909091
0.7390889094586192,0.5454545454545455
1.2949821632468774,0.17171717171717174
1.406915772009557,0.1212121212121212
1.162037253284746,0.2323232323232324
1.3394512370754703,0.15151515151515152
1.5564130606014739,0.060606060606060615
