utility,reliability
0.5366304997219948,0.8787878787878773
0.5509993673082568,0.8484848484848472
0.914975862726378,0.4343434343434346
1.310669741082732,0.20202020202020207
1.3652728573655109,0.18181818181818185
0.6418895055401633,0.7070707070707064
1.4023383654940782,0.17171717171717174
1.6854687063162197,0.07070707070707072
0.6026990311685649,0.7575757575757567
1.0491421365469953,0.3434343434343436
0.6752838040447369,0.6666666666666662
1.1065357097460076,0.29292929292929304
0.526843119144427,0.999999999999998
1.2479788339626718,0.2323232323232324
1.5571212241005887,0.1111111111111111
1.5867643388837853,0.10101010101010101
0.8757964271413277,0.4646464646464649
1.431812428529524,0.16161616161616163
1.080926185902434,0.32323232323232337
1.0015626018180632,0.3737373737373739
1.3515825009462614,0.19191919191919196
1.2824394443264866,0.21212121212121218
1.173102565950319,0.28282828282828293
1.4567131098237438,0.15151515151515152
0.6188856467548783,0.7373737373737366
0.8178964544984052,0.5151515151515154
0.8532460487500163,0.48484848484848514
1.266733009895786,0.2222222222222223
0.9753453903341338,0.38383838383838403
1.2121583942712661,0.2525252525252526
1.6275915292452765,0.09090909090909091
1.2264540273518347,0.24242424242424251
1.187760941301187,0.2626262626262627
1.0977780725478592,0.31313131313131326
0.9575705893819103,0.40404040404040426
0.5441015267385214,0.8686868686868673
1.5081005289096512,0.1212121212121212
1.4934854864303326,0.1313131313131313
1.0322754006031916,0.3535353535353537
1.6628469499648082,0.08080808080808081
0.8903198191347763,0.4545454545454548
1.7029729517620922,0.060606060606060615
