fish_population_1,fish_population_2,fish_population_3
3.2162564410677414,6.673892318219567,4.516914935495695
3.782116638481546,6.43914391891124,5.998396403613001
6.172498757701899,0.5653389249752546,0.5
0.60418505306348,0.5,8.560372755120472
5.166878669258295,5.962626004620122,5.095238282692969
0.5365711777554624,0.5,8.661568447712183
0.5402765408525574,7.425996665289755,0.5008760274779506
6.117144588843093,0.795197226701543,0.7232511312319683
3.283068431471066,6.748443769185598,4.41118754767294
5.304499697983312,5.951348053117383,4.248847404633536
4.043962970634436,5.650693064489008,6.737484885672165
5.022719376723267,5.951753759622478,5.767270242203343
4.619895444002031,5.940434329143029,6.0616004965875225
4.988809063991218,5.558071396664342,6.271304052970513
2.1277996544211515,2.2575937146348815,7.363816526189744
0.5022573939822443,7.370698134743468,0.6025608726862659
5.521566900973408,5.98226833545077,1.6374616705065708
3.8541994805672495,6.640462512913194,3.288537826151965
4.003837025460815,6.0651614875844775,6.339023471160146
4.636956141178856,5.805097297763147,6.413941563122915
1.5580741184680902,6.555552997166399,7.112208616032843
3.490907665226971,6.251511962813238,6.795090459358005
5.719849806294591,5.436529880558448,1.9564141845750913
5.044599961893071,6.023131377081456,5.460010805686154
4.231794598753903,6.786751503038898,0.6048323701682632
4.943872774432411,5.827398414027107,5.993740088978992
5.2544928595909,5.782907166643686,4.6084509472459665
5.050324270974368,5.9059695801074055,5.852115322934342
3.4603715275846954,5.425897312541059,7.07059478216763
4.020199377141121,6.5945272032707125,2.4700572627970883
5.363409359619008,6.004524120673762,3.4684484278818424
5.85238201949292,0.5,3.9955113276686096
5.288049340721048,4.956716532072415,5.606972182556977
3.9657428751199486,6.118440070300369,6.258548042293067
3.8074556493849245,6.436153802622039,6.169716976392899
4.940015482225862,0.5,7.515834352835029
5.527125534281092,4.662075586317475,3.5288064729227284
5.272790315984265,5.34663912064504,4.966246412133877
6.188482822168998,0.5607481805608996,0.5
4.902220335019824,6.181275678483222,5.212634515178705
0.5556637317647942,0.5,8.60753196306462
4.428681615439824,6.047586398794213,6.439103381898051
0.5550911630670504,0.5,8.635791677018123
4.904243736221558,5.286165264032089,6.395476940957792
4.544506001585203,6.331462562461204,4.804837909099599
5.094004751276074,5.892578096391325,5.729537935273645
5.065636151971977,0.5,7.372691872068272
4.123737800778986,6.238808145539431,5.4517876773586025
4.834185613819072,5.321646298903407,6.416253179536376
5.027665561490602,4.59131309094043,6.3565853269765675
4.739667684470616,4.558589849256935,6.86215176228751
4.969597111874277,5.2651002916549245,6.501936540863889
5.402098503473098,5.825289216059591,3.665738857358564
5.41105128201429,6.244597236072939,2.1012354886188875
4.570121100447037,6.130506276048413,5.967935293193601
5.047013371611327,5.443026186349442,6.137771374132536
0.5,7.422261978500982,0.57
4.51744966388147,5.9788082762812635,6.323474083138487
5.175805373909473,5.25767955642598,5.886868210201114
5.97309429661274,4.212710629714017,0.5
5.433226685886042,5.991794265648415,3.6481871831601107
4.771427678816346,5.53251363908619,6.456076844270002
0.6131221283373466,0.5579896318176819,8.455341163982299
5.633981942879944,4.611872332154906,3.451772518624999
4.453475818037459,5.157075120103824,6.712466167824544
5.331684205483398,4.4592835073018335,5.409479708819351
5.011124755414349,6.086782485992378,5.28254930189207
4.814532883349847,5.39443067721558,6.593983729638632
5.6300112318500295,6.209983034422366,0.5
5.692848836365416,1.565910215263015,3.1156568498513977
5.263902794300925,5.707316588149611,4.757707358157993
5.1137030057785395,6.044674186887655,4.626382273308803
5.294675500857886,4.1866469710536105,5.915056960917016
4.489535601453477,6.133913945870435,6.104345020550615
5.029824625761399,5.592719580508149,6.050449333490181
4.654501544083292,5.946825347748684,5.952341616571803
4.710801062778396,6.306774567331937,5.410561990508758
4.75246351318281,6.187837395192957,5.7841512155238615
4.825401382343647,6.22484704656286,4.434830888787553
4.95558065126621,4.647112085832586,6.563453425522111
0.5,6.88921863294724,5.287417327584967
1.6424025882455315,1.9412943939507512,7.654231624624039
4.394841918210733,6.1718833238290625,6.000367624930769
0.55,0.5,8.650681127999766
4.853427866245995,6.128252633978184,5.467192737595218
4.2680332587838326,6.201423770540177,5.799839793651524
0.5,6.8490353285148355,5.619741597189323
4.713277777158375,5.914466878837,6.361144093856165
0.9627622839245203,0.5303769925414332,8.305660290786376
5.885438162205116,4.791683808458322,0.5092538736784011
5.082662530478051,5.290741643282389,6.116547093989933
5.217000690887439,5.2793743568917355,5.836189894846046
5.326949951710251,4.83624617313033,5.0264275468571
4.482442741163764,6.346578766178325,5.344827639738506
3.9645892305130044,6.050606670165848,6.488168152982133
5.446925368178386,3.4984486974471602,5.350478436527322
