0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,avg utility,avg reliability
10,9,4,4,3,5,0,2,3,5,1,2,3,2,5,1,6,3,1,5,1,2,4,3,2,1,5,3,4,4,2,1,5,5,3,2,4,3,2,7,1,3,5,6,3,1,6,2,3,6,6,3,1,2,7,5,1,4,6,4,2,3,0,4,5,5,1,7,0,5,2,2,4,5,5,4,1,5,6,4,3,4,4,5,1,7,6,4,7,3,6,5,7,7,6,8,9,10,9,0.6643301157741778,0.8911111111111096
10,10,9,4,4,0,4,3,6,5,2,2,3,3,7,2,7,3,5,3,3,5,6,1,5,0,6,4,4,4,4,3,6,6,4,5,4,3,1,6,3,6,4,4,4,6,4,2,3,3,3,7,2,5,6,5,1,5,5,3,1,4,3,7,2,6,6,7,0,2,6,0,4,5,5,6,4,1,6,4,4,4,4,4,2,9,7,1,8,7,7,4,7,6,9,9,10,10,10,0.7944966107967165,0.8157575757575743
10,9,6,4,3,5,0,2,3,5,1,2,3,4,5,1,6,3,1,5,0,2,5,2,5,1,5,3,4,4,5,0,5,6,2,6,5,3,2,4,1,2,4,6,3,0,6,2,3,6,6,0,3,6,1,2,2,7,5,4,2,3,4,4,3,5,0,7,0,4,3,1,7,5,4,7,0,6,6,2,3,5,4,4,1,7,6,2,6,3,6,4,7,7,6,8,9,10,10,0.6834540922354105,0.8810101010100995
10,9,5,5,0,5,3,1,1,5,2,0,3,4,2,1,2,4,1,5,3,1,4,2,2,1,5,0,5,4,3,1,5,0,2,1,4,3,3,3,1,2,1,5,2,0,6,2,0,5,5,4,1,0,2,2,1,4,0,4,3,0,4,4,1,7,0,6,0,5,0,1,1,5,3,6,1,5,6,0,0,4,4,6,1,5,1,1,4,4,6,7,7,10,10,7,9,10,10,0.564661797201715,0.9551515151515133
10,9,7,4,4,4,0,2,4,5,1,2,3,4,5,1,6,4,1,5,3,2,8,1,2,5,5,2,3,4,5,0,6,5,3,2,5,3,2,7,3,5,5,6,0,0,7,2,3,5,5,3,1,5,6,5,0,5,5,4,2,5,4,5,5,7,3,4,0,5,6,1,7,5,3,5,3,4,6,3,5,4,4,6,1,7,6,0,4,7,7,7,7,9,8,7,10,10,10,0.7342754632734644,0.8503030303030288
10,9,5,5,3,5,1,2,2,5,2,0,3,4,6,1,6,3,1,5,3,5,3,2,5,5,5,3,3,4,5,1,6,2,2,1,4,3,3,4,2,2,6,8,0,0,7,2,3,6,5,4,0,1,4,5,2,6,3,4,3,4,4,5,2,6,3,7,0,5,3,1,7,5,2,4,3,5,5,3,4,4,4,4,0,7,6,7,4,3,6,7,7,9,6,8,10,10,10,0.7011544722392051,0.870505050505049
10,9,4,5,0,5,3,2,2,5,1,0,3,4,5,1,2,4,1,5,0,1,7,1,3,1,5,2,5,4,2,1,6,6,3,0,4,3,2,4,3,2,6,5,2,0,7,2,3,5,5,3,1,4,3,5,1,7,5,4,2,1,4,4,3,7,0,6,0,5,7,1,4,5,0,5,1,4,6,0,7,4,4,5,1,3,6,4,4,3,7,7,7,9,7,7,10,10,10,0.6454445387354076,0.9012121212121197
10,9,5,4,3,5,0,2,1,5,2,0,3,4,6,1,1,3,1,5,1,0,4,2,2,1,5,3,3,4,0,2,2,4,3,0,4,3,0,4,3,2,1,6,0,0,6,2,3,5,6,3,1,2,1,2,1,4,1,4,2,0,7,4,3,6,0,4,1,5,3,1,4,5,3,5,1,5,6,7,2,4,4,4,1,0,6,5,4,3,7,4,7,9,9,7,10,10,10,0.5830452653543078,0.9412121212121194
10,9,5,5,0,5,2,1,1,5,1,0,3,4,2,1,2,4,1,5,3,1,4,2,1,1,5,0,5,4,3,1,6,0,2,2,4,3,4,3,1,2,1,5,2,0,6,2,0,5,2,4,1,0,3,2,1,7,0,4,3,0,4,4,0,7,0,6,0,2,1,1,1,5,0,6,1,5,5,0,0,4,4,5,0,5,1,1,4,4,6,6,7,9,9,7,9,10,10,0.5512503165975076,0.9602020202020184
10,9,5,5,4,5,0,3,6,5,2,1,3,4,2,1,6,5,5,3,1,5,5,2,5,5,5,2,4,4,5,2,5,6,3,1,4,3,4,3,2,2,4,4,7,1,7,2,3,4,6,4,3,5,5,5,2,7,5,4,3,4,4,4,5,7,3,6,0,5,0,6,4,5,3,6,4,5,6,0,3,4,4,4,5,4,6,1,7,0,7,6,7,9,9,9,10,10,10,0.7505564223187295,0.8404040404040388
