upstream_flooding,water_demand,upstream_flooding_std,water_demand_std
-4.016375634378267,-8.95720814211797,0.7417441454212319,0.08945344224490166
-3.8721883396082077,-8.973796542904024,0.7625524690904737,0.09149745310802453
-2.885019619644702,-9.103048088792747,0.44671889546827903,0.05800829947833459
-3.30191598663416,-9.046196542904024,0.5142783834740167,0.06188549036682987
-3.9299546890092207,-8.966896542904024,0.7330148766225945,0.08823738492007416
-3.9230620507614393,-8.967696542904024,0.7349216647612048,0.08842869432107811
-1.1520710231709004,-9.432649944959678,0.48243187126724074,0.10952090054529864
-3.9355749581965234,-8.966234298723322,0.7284925631326444,0.08777194252972273
-4.007874486979026,-8.958152714051218,0.7385978461174979,0.08909465645189057
-3.868149771900552,-8.974297712150282,0.7657477501058013,0.09187070426243807
-3.890076500092603,-8.971459105986312,0.73033717938633,0.08789196587668237
-2.8140163104114744,-9.111799897275093,0.6076930967891955,0.07891303465918366
-3.8797404419460864,-8.972688675090103,0.7410397541282805,0.0890088918522636
-2.769165228960961,-9.119848088792745,0.4411292409032488,0.05770120352456911
-3.767585706196323,-8.985848088792746,0.7540883610234584,0.09064663331703086
-1.4143706868060333,-9.361449944959679,0.5988947670110463,0.11914139727877106
-3.984573608937204,-8.960741700500312,0.7327715922481363,0.08839708784832094
-2.332652943435667,-9.192848088792745,0.6513682781488679,0.09391565800964075
-3.6801107347743245,-8.996648088792748,0.7983419757421686,0.09628530069220953
-3.3566839914110242,-9.038696542904022,0.48778816504146044,0.05839617296429856
-3.7559822290765976,-8.987248088792748,0.7584029283274658,0.09117994329427646
-0.8084771105150046,-9.611192114926071,0.37066931691993205,0.09617773943611958
-0.7469156610362182,-9.712930954514341,0.37277519527893754,0.06956955883989588
-2.725195785938593,-9.126448088792745,0.4473674607240527,0.058736577289163094
-2.866720040524964,-9.105648088792746,0.44215468302118077,0.057466833240560275
-2.2760125103724387,-9.204648088792746,0.6911951367142072,0.10247735999346087
-4.017534448487687,-8.957079384994703,0.7425810712906721,0.08954411825384491
-3.11733835067821,-9.074196542904023,0.7057918146469855,0.09134155858166557
-4.023574512822295,-8.956408266735302,0.7451166498516665,0.08982972531506901
-3.636588016298418,-9.002248088792749,0.8299040157200367,0.10046141965814108
-3.412668091705602,-9.02806443608072,0.7307982797205811,0.0894351223999651
-2.751739945657533,-9.122448088792746,0.4422072865837271,0.05791720094907786
-3.1414158097275235,-9.0658940281421,0.9252633938779631,0.12016317251726287
-3.9938698754172814,-8.959708782002526,0.7346954431099453,0.08863448598131439
-2.91057819580886,-9.099448088792746,0.4525388397288793,0.05869978092384705
-3.2638768588859612,-9.051596542904022,0.5427854113781782,0.06583240619132653
-3.8261956464122124,-8.978906708723255,0.7393027307288608,0.08887859938679321
-2.3296396206184617,-9.193448088792746,0.6530676358421954,0.09426403635210767
-1.5602412509080692,-9.34519069506299,0.6418643148615302,0.11980775504531747
-3.9838099660507016,-8.960826549709923,0.7326319473783649,0.08837946344310578
-3.355939143913387,-9.038796542904024,0.4886577059304062,0.05850977874482239
-4.018052764017328,-8.957021794380296,0.7424557950683347,0.08953352582699968
-3.702342878396142,-8.993848088792747,0.7846037262906922,0.09450226003113375
-0.7683411347804273,-9.678627756280298,0.36947545661767833,0.09609283525176786
-3.736275655204815,-8.989648088792748,0.7668577535617084,0.0922383676058164
-4.023280320603782,-8.95644095475958,0.7449585425350718,0.08981227097276441
-3.688016231103454,-8.995648088792748,0.793279109877137,0.09562559580363657
-3.8778758644135265,-8.973096542904024,0.7582987472108418,0.09100612092812517
-3.9822565593476513,-8.960999150454708,0.7323591995121564,0.08834476770754192
-3.8976711636128085,-8.970696542904024,0.7457526726270092,0.08958949320193894
-1.2103052434941215,-9.4212983672861,0.5380282638529642,0.11800822683117569
-2.3448536263826796,-9.190448088792746,0.6449967868253822,0.09262935946551466
-4.0093410152391415,-8.957989766466762,0.7390963171857416,0.08915202199490262
-2.5640989849197395,-9.151848088792745,0.5115635488538928,0.06915130076291842
-3.9430149970629382,-8.965396542904026,0.7305961826008541,0.08801327932186671
-3.3761939918002417,-9.036096542904023,0.4845545670214248,0.05802219504483316
-1.9258736582724953,-9.282448088792746,0.4254059873739195,0.0644806659014097
-3.811337790107281,-8.980651444734479,0.742190430876306,0.08921420876269018
-3.007994102415638,-9.086048088792746,0.48624255630024343,0.06288477066435715
-3.405196366998986,-9.032296542904023,0.48110267714156413,0.057679666119353136
-3.6550870340748616,-8.999848088792747,0.8157531856587532,0.09857652469641548
-1.6052236383879603,-9.331098367286101,0.6068975697314941,0.10870053374762513
-2.4167004995758976,-9.176348088792745,0.5599534494541428,0.0741039741011953
-3.9669814609490075,-8.962696542904025,0.7302801012822023,0.08806521132595144
-3.220985812375997,-9.057052217558997,0.5313973145636975,0.06464281922697845
-3.307651601642816,-9.045396542904022,0.5107068577973249,0.06140204710203645
-3.7994769450492223,-8.982048088792748,0.7447514750801606,0.0895157269820053
-1.2319280526224268,-9.407849944959679,0.49848081025812446,0.10775263716753539
-2.424874150032539,-9.175648088792746,0.6035366517746821,0.08510303398368751
-4.009801569579352,-8.957938593762293,0.7392503792302585,0.0891697829741436
-2.368881883781817,-9.185848088792746,0.6347671347254703,0.09064663331703111
-3.2597221640573055,-9.052196542904023,0.5463310123547693,0.0663377033648582
-4.000365820032841,-8.958987010378575,0.7399476578080313,0.08920035466836947
-3.942138823021529,-8.965496542904024,0.7307102203024747,0.08802279943359127
-3.2123164768938595,-9.05919654290402,0.5917179418426497,0.07307394784995823
-3.6458090569362214,-9.001048088792748,0.8227194579623952,0.09950206219165669
-3.231042173776765,-9.056396542904022,0.5727363360266317,0.07020400181771744
-3.99182941344256,-8.959935499999718,0.734231339820906,0.08857810826221658
-0.7647163109301364,-9.68329016820544,0.3701929186816402,0.09358550688765065
-2.936399911652983,-9.095848088792746,0.4572441676784717,0.05927118767698151
-3.034777480687001,-9.082448088792745,0.49893825065370223,0.0644806659014096
-3.8873636621995065,-8.971773210722949,0.7305857665833503,0.08791665972626213
-2.7745541305109227,-9.119048088792747,0.4380564447510821,0.05725666895868478
-1.0097537974197133,-9.492649944959677,0.5091610106291317,0.13421396764440907
-1.1066462464063325,-9.453631651033945,0.5193265769244486,0.12241385925571496
-3.2149726506352447,-9.058796542904023,0.5889496734955697,0.07265145447256172
-1.5846807112108647,-9.3370983672861,0.6187627948720432,0.11268558112804951
-3.2473444338234456,-9.053996542904022,0.5573207088497951,0.06792641081713031
-2.4081285020413348,-9.178648088792746,0.6168898734629495,0.0874671839162063
-3.87500744883111,-8.973186238979194,0.729574639914771,0.08779316866316948
-2.3187124086889472,-9.195648088792746,0.6596263540384972,0.09562559580363682
-3.950939794539621,-8.964496542904024,0.7299190008833599,0.08796704274643266
-3.9463700983381282,-8.965009902232516,0.7287833390758386,0.08783383009254764
-3.327924028154333,-9.042596542904022,0.49964842291576567,0.059925598293939474
-3.9958606311051326,-8.959487586926096,0.7351749417419675,0.08869221709713584
-3.754331778255278,-8.987448088792748,0.7590628053613212,0.09126200008418846
-3.6077650031290323,-9.006048088792747,0.854003259667331,0.10371291496736135
-2.3226640133960927,-9.194848088792746,0.6571837995847992,0.09511557420474342
-3.935156974337763,-8.966296542904024,0.7318597408208293,0.08812609723984471
-3.2418849512160635,-9.054796542904024,0.5623661021336804,0.06866634034499416
-3.9465075277172854,-8.965005947190566,0.7322438048355848,0.08819597326979325
-2.2889516314186187,-9.201848088792746,0.6806373705553912,0.1001380188425191
-3.997138722524251,-8.959345576768417,0.7354946754117866,0.08873049497311385
-1.4161291612870184,-9.36104994495968,0.6001643352581952,0.11931205889474338
-2.4554726593188834,-9.170248088792745,0.580518270874746,0.08105595357195733
-4.007374239931817,-8.958208297056466,0.7384337522628893,0.08907569581014654
-2.855525657324597,-9.107248088792746,0.4406006936267416,0.05729682712409247
-4.022774485817415,-8.956497158624734,0.744691897187171,0.0897827930024819
-1.659610991623365,-9.3163983672861,0.5825797104358406,0.1008041600446669
-3.8992794817494123,-8.970443101018516,0.7361146370877288,0.08853383337634675
-3.9482905615813917,-8.964796542904024,0.7300766915662288,0.08797480373473086
-1.3336548061305284,-9.380649944959679,0.5453660641882588,0.11226387898155561
-3.819660583939591,-8.979673595505439,0.7405312018786826,0.08902081801172433
-1.2802619305116605,-9.390949944959678,0.4555628062389436,0.07853104184997417
-3.228348121111437,-9.056796542904022,0.5753876407538365,0.07060109137848486
-2.773205682676201,-9.119248088792745,0.43945270753689886,0.05745413246915306
-3.739543690755021,-8.989248088792747,0.7653568967750317,0.09204934567752876
-0.7506981670829314,-9.693394014636699,0.3676113182172701,0.0600850488699073
-3.2535163439277377,-9.053096542904024,0.5512633879617224,0.06704299429905433
-2.1466286636212684,-9.223198367286098,0.6365723182276161,0.0947387394048529
-2.7357763473777172,-9.124848088792747,0.4450946180537212,0.058379548504655474
-4.005829159051167,-8.95837997270987,0.7379486489283053,0.08901935453899405
-3.2109911443180623,-9.059396542904022,0.5931116374283142,0.07328722072815465
-2.4237526866506425,-9.175848088792748,0.6037209367652768,0.08513480182235905
-3.3242810859978547,-9.043096542904022,0.5008474747896537,0.06008029923932536
-3.749387573021495,-8.988048088792748,0.7610766228933696,0.0915129166077583
-3.0317891113558266,-9.082848088792746,0.49746958482370274,0.06429590918417828
-2.382841620950774,-9.183248088792745,0.6302585325541066,0.08982432647799843
-2.9292001024642143,-9.096848088792747,0.45637866022707524,0.059164310807281704
-4.014910858543067,-8.957370894988548,0.7411492749281244,0.089386227419785
-3.2057044631352496,-9.060196542904022,0.5987237857699238,0.07414854022061629
-3.3898596901240707,-9.034296542904023,0.48152547087265407,0.057675144880970294
-3.9714498238282228,-8.962199898845753,0.7307775871579826,0.0881356364761813
-3.818008039427336,-8.97986766356947,0.7408549460458117,0.0890584447970643
-4.02199751036188,-8.956583489230903,0.7442949832025099,0.0897388106077053
-3.3250085740158006,-9.042996542904023,0.5010783761320056,0.06011446804935474
-3.9006577488712617,-8.97023644988898,0.7295141550696561,0.08781432305252077
-2.3646409150165932,-9.186648088792747,0.6363421095517079,0.09094295704780653
-3.917926091408316,-8.968296542904023,0.7366286044772233,0.0886050013104296
-3.9133087884632625,-8.96878006993998,0.7288260173730218,0.08775911187666646
-4.0124750890515,-8.957641536043168,0.7402113926870179,0.08927970596526856
-2.991754543626765,-9.088248088792746,0.4777706179790695,0.06183147283581522
-3.250769238528523,-9.053496542904025,0.5546983237032572,0.06754779619215559
-3.860356189608103,-8.974911644796874,0.7337211959631154,0.08824816482607958
-2.587378465186397,-9.148048088792747,0.5001092966968277,0.0672116353421038
-4.020345041841317,-8.9567670968443,0.7434904902819546,0.0896493302736676
-3.8918503863534886,-8.971396542904024,0.7490753521317209,0.08995919452868982
-2.6775855258233667,-9.133048088792746,0.41952000008487966,0.05268072433572268
-1.1767570643373575,-9.428698227453923,0.5182542825000918,0.11552586755028073
-3.673816235594411,-8.997448088792748,0.8025291004888836,0.09683327089042319
-3.5736999751709417,-9.009542780756028,0.806189610384493,0.09811026359426189
-2.2796774398354485,-9.203848088792746,0.6881175302326955,0.10179092369116079
-3.6659842297286684,-8.998448088792747,0.8079203478291501,0.09754170903056886
-3.9193893862126163,-8.96808249522131,0.728622152796048,0.08774854467637515
-3.2569602981648322,-9.052596542904023,0.5487283675398535,0.06668133528136633
-3.3709145960658318,-9.036796542904023,0.4848670895568589,0.058048865715645506
-1.1145828720220703,-9.445849944959678,0.4821613572298345,0.11269870842006899
-2.2815194254170135,-9.203448088792745,0.6865964187049594,0.10145298287013002
-3.906055824034957,-8.969696542904025,0.7415262381566164,0.08912688967095184
-2.706803015795579,-9.129248088792744,0.4520410686146793,0.05945992083583488
-3.9456490027649154,-8.965096542904025,0.7303029752554269,0.08799026311545333
-1.4573947979689892,-9.351849944959676,0.6206776417461782,0.12184897915598217
-2.8639166101661964,-9.106048088792747,0.4417375785511228,0.05742013914917465
-3.20702381272617,-9.059996542904022,0.5973143370472515,0.07393182367691255
-3.8846246703329346,-8.97209058470627,0.7308509458055121,0.08794341272497228
-3.903531934635799,-8.969996542904024,0.7427293755945363,0.08925758599045834
-3.6228622993100372,-9.004048088792748,0.8410648816298777,0.10196087643012466
-2.3915636825170488,-9.181648088792747,0.6279516759064472,0.08942402263719586
-3.3619095418659843,-9.037996542904022,0.4869631119255249,0.05830015667160732
-3.24392902220452,-9.054496542904024,0.5599847688393513,0.06831301793807887
-2.798962270594545,-9.115448088792746,0.4365437134664561,0.05695735594527443
-4.015292196978701,-8.957328524051256,0.7413006472232996,0.08940336838120867
-3.124607365212658,-9.072996542904022,0.6961406272045875,0.08974249235444147
-3.016894757048186,-9.084848088792745,0.49035312121930946,0.06340110977830744
-2.008709731710484,-9.243449944959679,0.7416540616973255,0.12712461813870668
-2.7839052188718125,-9.117048088792744,0.3939456679087949,0.04940380721759525
-2.3752905505909356,-9.184648088792747,0.6325650085171923,0.09023935342542432
-3.928226432881823,-8.967096542904024,0.7334485736820886,0.08828015776431394
-1.6921224734597635,-9.303943529341435,0.5239157705213359,0.08968456560029629
-4.022202299528767,-8.956560734879025,0.7443982945588963,0.08975026959427179
-3.9925338472250282,-8.959857229579441,0.7343914207442719,0.08859755775112112
-3.4559307800963612,-9.024498367286101,0.8498488028415294,0.10480073090649387
-3.440285114807276,-9.027796542904023,0.4865517549807151,0.058524459257940586
-3.9890229429623196,-8.960247330053077,0.7336353360503777,0.08850488791333282
-3.6927769844524927,-8.995048088792748,0.790316584636315,0.09524086806177123
-3.8163487086727854,-8.980062579913788,0.7411837665423587,0.08909672245682543
-2.3635850932113938,-9.186848088792747,0.6367512168759667,0.09102064513088279
-2.2778416756352837,-9.204248088792747,0.6896501040768723,0.10213227127031163
-3.878691716632439,-8.972996542904024,0.757713727938198,0.09093895644193377
-3.720028684556419,-8.991648088792749,0.7748523686963905,0.09325197034773886
-3.317025052642927,-9.044096542904022,0.5058679524771421,0.0607555972721311
-3.1356161294763343,-9.071196542904024,0.681779610577531,0.08737857484061373
-2.6184488677033824,-9.143048088792746,0.484051154249884,0.06455203572843031
-3.333773819240472,-9.041796542904024,0.4969354472651549,0.05956970720727802
-2.6666366018938605,-9.135448088792746,0.46626099868262355,0.06165292454077039
-1.6669959241013512,-9.307849944959678,0.6625251303838405,0.12375053173331811
-2.9624776780962896,-9.092248088792747,0.4661767191314843,0.060380238626632145
-3.8868921871990323,-8.971996542904025,0.7521484509933847,0.0903049334082843
-3.133772717837131,-9.071496542904024,0.6844834603279455,0.08782667640070252
-3.7420325918367427,-8.988648088792749,0.7424600485129031,0.08909320940765791
-2.838832154842481,-9.109648088792746,0.4389058365965775,0.05712858370255417
-3.454549180930718,-9.025996542904021,0.4907040752902431,0.059116436890066466
-0.8961665052730176,-9.567293769596509,0.4070431921012718,0.13058926211898486
-2.6577403473434944,-9.136838202611354,0.4685744743763323,0.06202805396258536
-2.3763639632068343,-9.184448088792745,0.632216043350126,0.09017562123620478
-3.4121487104849484,-9.031396542904023,0.4821067169969049,0.057833695697749106
-4.02466308618544,-8.956287314139395,0.7457298440220395,0.08989719474146676
-3.340387754201811,-9.040414836829758,0.4883189318624391,0.05894021030733319
-3.6691128611825694,-8.998048088792748,0.8057477569921183,0.09725589834256027
-2.637333474375934,-9.140048088792744,0.4767602474853607,0.06334962654942349
-3.256332939488187,-9.052674962738605,0.5482551137178712,0.0666237591359679
-3.9782462374958327,-8.961444741771574,0.7317091729706408,0.0882607190555015
-3.9616056489072764,-8.963296542904024,0.7299011915143739,0.08800410891574005
-3.352220188962555,-9.039296542904022,0.4904651529137546,0.05874143916944435
-2.44293628263227,-9.172448088792745,0.5902248358418697,0.08275784362493115
-3.765923367964263,-8.986048088792748,0.7546776000825904,0.09071915591418964
-3.959438467758141,-8.96353886002812,0.729567991698446,0.08796122117101092
-3.235095316763926,-9.055796542904023,0.5687984795533646,0.06961714099371678
-3.672246910259157,-8.997648088792749,0.8035955535527765,0.09697318211119021
-3.975750466889571,-8.961722049616714,0.7313440330181629,0.0882124342013787
-2.407018334729972,-9.178848088792748,0.6171093661423102,0.08750414598430109
-1.9008075190198819,-9.282545025249439,0.4504122518860197,0.07143166926444265
