0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,avg upstream_flooding,avg water_demand
10,8,6,5,7,5,4,6,6,5,7,5,6,7,5,6,10,5,5,5,4,6,5,7,7,7,6,6,5,5,6,5,6,5,7,5,6,5,5,5,5,10,6,6,5,5,7,5,6,4,7,5,6,5,7,5,5,6,5,6,6,5,7,5,6,6,6,4,10,5,6,6,6,7,6,6,6,5,6,6,6,7,4,6,5,7,6,7,6,6,4,5,6,6,7,6,7,5,6,6,-1.8954003968547604,-9.722020020710328
10,5,6,7,6,4,6,6,5,5,7,5,6,7,5,5,10,5,5,5,7,7,7,5,7,6,6,6,5,6,6,10,6,6,5,5,7,5,6,6,6,7,6,6,5,6,7,5,10,4,5,5,7,6,7,5,5,6,5,5,5,5,5,6,4,6,6,7,6,5,7,7,5,7,6,6,5,6,7,6,6,7,4,6,4,6,5,7,6,6,5,6,5,6,6,6,7,5,6,6,-2.304511586140252,-9.694749055789876
9,5,5,5,6,5,6,6,5,6,7,5,6,7,5,4,5,5,5,5,7,7,5,5,7,10,5,5,5,5,6,6,5,9,5,4,5,5,6,5,6,6,7,6,4,6,7,5,10,4,5,5,6,5,4,5,5,6,5,5,6,5,4,5,6,6,7,7,9,6,8,7,5,7,6,7,6,5,6,5,6,7,5,6,5,6,6,7,5,6,5,5,6,6,6,6,7,5,6,6,-3.534536433208442,-9.382407321997746
10,10,6,7,7,5,5,6,6,5,7,5,9,7,5,6,6,5,5,5,7,7,6,6,6,6,6,6,5,5,6,10,6,6,7,10,6,5,5,6,5,6,6,5,5,6,7,5,10,7,7,10,6,5,7,5,5,6,4,7,6,4,7,6,5,6,6,4,6,5,7,7,6,8,6,6,6,6,6,6,7,8,5,6,5,6,6,7,6,6,5,5,6,6,6,6,7,5,5,4,-1.450963451042001,-10.069977154679222
10,10,6,6,7,5,5,6,6,5,6,5,6,7,5,5,6,6,5,5,4,7,5,6,6,6,6,6,6,6,6,10,7,5,7,5,6,5,6,5,6,6,9,5,6,9,7,6,5,4,6,5,6,6,7,5,5,6,5,6,10,6,7,5,5,5,5,7,6,5,7,7,5,7,6,7,6,5,6,6,6,7,4,6,5,8,6,7,6,6,5,5,6,6,7,6,7,5,7,6,-1.4162830908301611,-10.128745833736167
5,5,5,6,6,5,5,5,5,5,6,5,6,7,5,4,5,5,5,4,6,6,5,4,7,4,5,5,5,4,6,6,6,9,7,5,5,6,6,5,7,5,6,5,5,6,7,7,7,4,5,5,6,6,6,5,5,6,5,5,5,5,4,6,4,6,6,7,8,5,7,7,6,6,6,6,5,7,6,5,6,7,4,6,5,7,5,6,5,6,5,4,6,5,6,6,7,5,7,6,-4.417999221786361,-9.273404104302426
5,5,5,6,6,5,5,5,5,5,6,5,6,7,5,4,5,5,5,4,6,6,5,4,7,4,5,5,5,4,6,6,6,9,7,5,5,6,6,5,7,5,6,5,5,6,7,7,7,4,5,5,6,6,6,5,5,6,5,5,5,5,4,6,4,6,6,7,8,5,7,7,6,6,6,6,5,7,6,5,6,7,4,6,5,7,5,6,5,6,5,4,6,5,6,6,7,5,7,6,-4.550171823474216,-9.21996356102436
5,5,5,6,6,5,5,5,5,5,6,5,6,7,5,4,5,5,5,4,6,5,5,4,7,4,5,5,5,4,6,6,6,9,7,5,5,6,6,5,7,5,6,5,5,6,7,7,7,4,5,5,6,6,6,5,5,6,5,5,5,5,4,6,4,6,6,7,8,5,7,7,6,6,6,6,5,7,6,5,6,7,4,6,5,7,5,6,5,6,5,4,6,5,6,6,7,5,7,6,-4.728931172891823,-9.17820657440578
10,10,7,6,7,5,6,6,6,5,6,5,9,7,5,6,5,5,5,5,5,7,7,6,5,5,6,5,5,5,6,10,6,5,6,5,6,5,6,5,5,6,9,5,5,5,7,5,5,4,6,6,6,6,7,5,5,6,5,6,6,5,4,6,5,6,6,4,9,5,7,6,6,7,6,6,6,5,6,6,6,7,5,6,5,9,6,7,6,6,5,5,6,6,7,7,7,5,5,6,-1.658722101269501,-9.762881054718846
5,5,5,6,6,5,5,5,5,5,6,5,4,7,5,4,5,5,5,4,6,6,5,4,7,4,5,5,5,4,6,6,6,9,7,5,5,6,6,5,7,5,6,5,5,6,7,7,7,4,5,5,6,6,6,5,5,6,5,5,5,5,4,6,4,6,6,7,8,5,7,7,6,6,6,6,5,7,6,5,6,7,4,6,5,7,5,6,5,6,5,4,6,5,6,9,7,5,7,6,-4.770581181535677,-9.14216899276933
