0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,avg upstream_flooding,avg water_demand
10,10,8,5,7,6,5,5,5,5,7,6,6,7,6,5,7,5,7,10,6,5,9,5,8,5,5,5,7,6,5,5,6,5,6,6,9,6,5,5,5,6,5,5,7,5,6,6,9,9,7,6,5,5,7,7,7,7,6,6,9,5,6,5,7,5,6,10,5,7,6,5,5,5,5,6,7,7,6,6,5,5,5,7,6,5,4,7,5,5,6,5,6,6,6,7,7,5,7,6,-1.3881892096075168,-10.110754614795896
10,10,9,5,7,6,5,5,5,5,7,6,6,7,6,5,6,5,7,10,6,5,9,5,8,5,5,5,7,6,5,5,6,5,6,6,9,6,5,5,5,6,5,5,7,5,6,6,9,9,7,6,5,5,7,7,7,7,6,6,9,5,6,5,7,5,6,10,5,7,6,5,5,5,5,6,7,7,6,6,5,5,5,7,6,5,4,7,5,5,6,5,6,6,6,7,7,5,7,6,-1.3284138262637313,-10.52814411450583
10,10,10,5,7,6,5,5,5,5,7,6,6,7,6,5,7,5,7,10,6,5,9,5,8,5,5,5,7,6,5,5,6,5,7,6,9,6,5,5,5,6,5,5,7,5,6,6,9,9,7,6,5,6,7,7,7,7,6,6,9,5,6,5,7,5,6,10,5,7,6,5,5,5,5,6,7,7,6,5,5,5,5,6,6,5,7,7,5,5,6,6,6,6,6,7,7,5,7,6,-1.420191349566561,-10.03986422613097
10,10,9,5,7,6,5,5,5,5,7,6,6,7,5,5,7,5,7,10,6,5,9,5,8,5,5,5,7,6,5,5,6,5,6,6,9,6,5,5,5,6,5,5,7,5,6,6,9,9,7,6,5,5,7,7,7,7,6,6,9,5,6,5,7,5,6,10,5,6,6,5,5,5,5,6,7,7,6,6,5,5,5,7,6,5,4,7,5,5,6,6,6,6,6,7,7,5,7,6,-1.3155756092561672,-10.573943962103598
10,10,6,5,7,5,6,5,5,5,7,6,6,8,6,5,7,5,7,5,6,5,9,5,8,5,5,5,7,6,5,5,6,5,6,6,9,6,5,5,5,5,5,5,7,5,5,5,9,9,7,6,5,5,7,4,7,7,6,10,6,5,6,5,7,5,6,5,5,6,6,5,5,5,5,6,7,7,6,6,5,5,5,7,6,5,7,6,5,5,5,6,6,6,6,7,7,5,7,6,-1.7025066227483094,-9.618833226346517
10,10,9,5,7,6,5,5,5,5,7,6,6,7,6,5,7,5,7,10,6,5,9,5,8,5,5,5,7,6,5,5,6,5,6,6,9,6,5,5,5,6,5,5,7,5,6,6,9,9,7,5,5,5,7,7,7,7,6,6,9,5,6,5,7,5,6,10,5,6,6,5,5,5,5,6,7,7,6,6,5,5,5,7,6,5,4,7,5,5,6,5,6,6,6,7,7,5,7,6,-1.3404610871238583,-10.174098742629674
5,5,8,5,4,5,5,5,5,5,6,6,6,8,6,5,7,5,7,6,6,5,10,5,8,5,5,5,7,7,5,5,6,5,6,6,9,7,5,5,5,5,5,5,7,5,5,6,9,6,7,6,5,5,8,7,6,7,6,10,9,5,6,4,4,5,6,5,5,7,5,5,4,5,5,6,7,7,6,6,5,5,5,7,6,5,7,6,5,5,6,5,5,6,6,7,7,5,7,6,-4.589965435701226,-9.298909780589673
10,10,6,5,7,10,6,5,5,5,7,6,6,9,6,5,4,5,7,5,6,5,9,5,9,5,5,5,7,6,6,5,6,5,7,6,9,5,5,5,6,5,5,5,7,5,5,5,9,9,7,6,5,6,7,4,7,7,6,10,6,5,6,5,7,5,6,5,5,5,5,5,6,5,5,5,6,7,6,6,5,6,5,7,9,5,7,6,5,5,6,6,6,5,5,7,7,5,7,6,-1.6765651819940361,-9.713467835844163
5,5,9,5,4,5,5,5,5,5,7,6,6,8,6,5,7,5,7,6,6,5,10,5,8,5,5,5,7,6,5,5,6,5,6,6,9,6,5,5,5,5,5,5,7,5,6,6,9,6,6,6,5,5,7,7,6,7,6,6,9,5,6,4,4,5,6,5,5,7,5,5,4,5,5,5,6,7,6,5,5,5,5,7,6,5,7,7,5,5,6,5,5,6,6,7,7,5,7,6,-3.8476422151471095,-9.410757917436365
5,5,6,5,7,5,4,5,5,5,7,7,6,4,5,5,4,5,7,9,9,5,9,5,8,5,5,5,7,6,5,5,6,5,6,6,9,5,5,5,5,6,4,5,4,5,6,6,6,7,7,6,5,6,7,7,7,7,5,6,6,6,6,5,7,5,6,10,5,7,5,5,5,5,5,6,7,7,6,7,5,6,5,7,6,5,4,6,5,5,6,5,5,5,6,7,7,7,6,6,-4.070090947639237,-9.335732493377614
10,5,6,5,4,5,5,5,5,5,6,6,6,8,6,5,7,5,7,6,6,5,9,6,8,5,5,5,7,7,5,5,6,5,6,6,9,4,5,5,6,6,5,6,7,5,6,5,9,6,7,6,5,5,8,4,7,7,5,9,10,5,6,5,6,5,6,5,5,7,5,5,4,5,5,6,6,7,6,6,5,5,5,7,6,5,7,7,5,5,5,6,5,5,6,7,7,6,6,6,-3.0026843289873737,-9.547008214732267
10,5,6,5,7,5,6,5,5,5,6,6,6,8,6,5,7,5,7,5,6,5,9,5,9,5,5,5,7,7,5,5,6,5,6,6,9,6,5,5,5,5,4,5,7,5,6,6,6,9,7,6,5,5,8,7,6,7,5,5,5,5,6,4,4,5,6,10,5,7,6,5,5,5,5,6,7,7,7,5,5,5,5,7,6,5,4,6,5,5,6,5,5,5,6,7,7,5,7,6,-2.618530945923935,-9.573904102113442
10,5,6,5,7,5,5,5,5,5,6,6,6,8,6,5,4,5,4,5,6,5,9,6,9,5,5,5,7,7,5,5,6,4,6,6,9,5,5,5,5,5,5,5,7,5,6,6,6,9,7,6,5,5,9,4,7,7,5,5,5,5,6,4,4,5,6,5,5,6,6,5,5,5,5,6,7,7,7,4,5,6,5,7,6,5,4,7,5,5,6,5,4,5,6,7,7,5,6,6,-2.779707961728446,-9.559152873408005
5,5,6,5,7,5,6,5,5,5,7,7,6,7,6,5,4,5,7,6,6,5,9,5,8,5,5,5,7,6,5,5,6,5,6,6,9,6,5,5,5,6,5,5,4,5,6,6,6,6,7,6,5,6,7,7,7,7,6,6,6,6,6,5,7,5,6,5,5,7,6,5,5,5,5,6,7,7,6,7,5,5,5,7,6,5,4,6,5,5,6,5,6,6,6,7,7,5,6,6,-3.9226452500065476,-9.380135148497043
10,5,6,5,4,5,5,5,5,5,7,6,7,8,6,5,7,5,7,6,6,5,9,5,8,4,5,5,7,6,5,5,6,5,6,6,9,6,5,5,6,5,4,5,7,5,6,5,9,9,7,6,5,5,8,4,6,7,5,5,5,5,6,4,4,5,6,10,5,4,5,5,4,5,5,6,6,7,7,6,5,5,5,7,6,5,7,6,5,5,5,6,5,5,6,7,7,5,6,5,-3.2774031765954366,-9.496672258355996
10,5,6,5,4,5,6,5,5,5,7,6,6,8,6,5,7,5,7,5,6,5,9,5,8,5,5,5,7,6,5,5,6,5,6,6,9,7,5,5,5,5,5,5,7,5,5,5,9,6,7,6,5,5,7,4,6,7,6,10,9,5,6,4,4,5,6,5,5,6,5,5,5,5,5,6,7,7,6,6,5,5,5,7,6,5,7,6,5,5,6,6,5,6,6,7,7,5,7,6,-3.0733843862389745,-9.528556181246373
