0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,avg upstream_flooding,avg water_demand
5,8,6,6,5,5,7,5,7,4,6,6,5,5,5,5,5,7,7,5,6,4,5,7,6,5,6,4,5,5,4,7,7,6,4,6,5,4,6,5,10,5,5,5,5,5,5,5,5,6,6,6,5,6,5,7,6,5,6,5,6,6,7,4,4,5,6,5,5,6,7,6,5,5,5,6,9,6,6,7,7,4,5,10,5,6,7,6,5,5,5,5,5,5,9,6,5,4,6,7,-3.0057417901466876,-9.437774313805289
5,9,6,6,5,5,6,5,7,5,6,6,5,5,5,5,5,7,4,6,6,6,5,7,6,5,5,4,5,5,5,7,7,6,5,9,5,4,6,5,10,5,5,5,6,5,5,6,5,6,6,6,5,6,5,7,6,5,5,5,6,5,7,7,5,5,6,5,6,6,6,9,5,5,5,6,8,6,6,9,7,7,6,10,5,6,6,6,5,5,6,5,5,5,9,6,5,4,6,7,-2.7697838519265146,-9.546634094600101
10,7,6,5,5,6,9,5,7,5,5,6,7,5,5,5,5,5,7,5,6,5,6,7,6,10,10,7,4,5,4,7,7,10,6,6,5,4,6,5,6,4,5,5,6,4,6,5,4,7,6,6,5,6,6,6,7,5,6,5,5,5,6,6,5,5,5,5,6,9,6,5,6,5,4,6,7,4,7,7,8,6,5,5,5,6,7,6,6,7,5,6,5,5,5,6,5,5,5,7,-2.1126298213203434,-9.573996833690279
10,5,6,5,5,6,7,5,7,5,5,6,6,5,5,5,5,6,7,10,6,5,9,6,5,5,10,7,7,5,4,7,7,5,6,9,5,4,6,4,5,4,6,5,6,5,6,5,5,7,6,6,5,6,6,6,6,5,5,5,5,5,6,6,5,5,5,5,6,9,6,5,9,5,5,6,7,4,7,7,8,7,5,10,5,6,6,9,6,7,5,6,5,5,6,6,5,5,5,7,-2.7023523719928746,-9.563245350055286
5,7,6,5,5,6,7,5,6,5,5,6,5,5,5,10,4,5,4,5,6,5,6,7,6,10,9,4,4,5,4,7,7,9,5,6,5,4,6,5,6,4,5,5,6,4,6,5,4,5,6,6,5,6,9,6,7,5,6,5,5,5,6,7,5,5,5,5,6,6,6,5,5,5,4,6,7,5,7,7,7,7,5,5,5,7,7,6,5,6,5,6,5,5,5,6,5,5,5,7,-3.6648539101348363,-9.292352136261236
5,7,6,5,5,6,8,6,6,5,5,6,7,5,5,10,4,5,4,5,6,5,5,7,6,10,10,4,4,5,4,7,7,10,5,6,5,4,6,6,6,4,5,5,5,6,6,5,4,4,6,7,5,6,6,6,7,5,6,5,5,5,7,7,5,5,5,5,7,9,6,5,6,5,4,6,8,4,7,7,8,6,5,5,5,6,7,10,6,7,5,6,5,5,5,6,5,5,5,7,-3.609314208919886,-9.383719678562189
5,7,6,5,5,6,9,5,7,5,6,6,5,5,5,10,4,4,4,5,6,5,5,7,6,10,10,4,4,5,5,7,7,5,5,6,5,4,6,5,9,5,5,5,6,5,5,5,5,7,6,7,5,6,5,6,7,5,6,5,5,5,7,7,5,5,5,5,7,6,6,10,6,5,5,6,8,6,7,7,8,6,5,10,5,5,6,6,6,5,5,6,5,5,10,6,5,5,5,7,-3.1678400002604525,-9.408970880563293
10,6,9,6,5,6,7,5,7,5,6,6,6,5,5,5,5,5,7,5,6,6,5,6,6,5,5,7,7,5,5,7,7,5,5,6,5,4,6,5,10,4,6,5,5,4,6,6,5,7,6,6,5,6,5,9,7,6,6,5,10,5,7,7,5,5,7,5,7,6,6,10,6,5,5,6,7,4,7,6,8,7,5,5,5,6,7,10,6,7,5,9,5,5,5,6,5,5,5,7,-1.9319867647362101,-9.603270527502833
10,9,6,6,5,5,6,5,6,5,6,6,5,5,5,5,5,7,4,5,6,6,5,7,6,5,5,4,5,5,5,7,7,6,5,9,5,5,6,5,10,5,5,5,6,5,5,7,5,6,6,6,5,6,5,7,7,6,5,5,5,5,7,7,5,5,6,5,5,6,6,9,5,5,6,6,7,5,6,6,7,7,5,5,5,6,6,6,5,6,6,5,6,5,9,6,5,5,5,7,-1.8497244022038286,-9.692220460922933
10,10,9,9,9,5,6,5,6,5,5,6,5,5,5,5,5,6,7,5,6,6,10,6,6,5,6,7,7,6,5,7,7,9,5,6,5,5,6,5,10,5,6,5,6,10,6,6,5,6,6,6,5,6,6,9,9,6,6,5,5,5,7,6,5,5,7,5,5,6,6,10,5,5,6,9,8,6,7,6,8,7,5,10,5,6,7,6,6,6,6,10,6,5,9,6,5,6,5,7,-1.3049488663945041,-10.387458463540629
10,10,9,6,9,5,6,5,6,5,5,6,5,5,5,5,10,6,7,5,6,6,10,6,6,5,6,7,7,6,5,7,7,6,5,6,5,5,6,5,10,5,6,5,6,5,6,6,5,6,6,6,6,6,6,9,9,6,5,5,5,5,7,6,5,5,7,5,5,6,6,10,5,5,6,6,8,6,6,6,8,7,5,10,5,6,7,6,6,6,6,10,6,5,9,6,5,6,5,7,-1.3907221697401533,-10.093371607608283
10,10,9,9,9,5,6,5,6,5,5,6,5,5,5,5,5,6,7,5,6,6,10,6,6,5,6,7,7,6,5,7,7,9,5,9,5,5,6,5,10,5,6,5,6,10,6,6,5,6,6,6,5,6,6,9,9,6,6,5,5,5,7,6,5,5,7,5,5,6,6,10,5,5,6,9,8,6,7,6,8,7,5,10,5,6,7,6,6,6,6,10,6,5,9,6,5,6,5,7,-1.451384486879048,-9.900320294478428
10,10,9,6,9,5,9,5,6,5,5,6,5,5,5,5,5,6,7,5,6,6,5,6,6,5,6,7,7,6,5,7,7,9,6,6,6,5,6,5,10,5,5,5,7,5,6,7,5,6,6,6,5,6,5,7,8,6,7,5,5,5,7,6,5,5,7,5,5,6,6,10,5,5,6,9,7,6,7,6,7,7,5,10,5,6,7,6,5,5,6,5,6,5,9,6,5,6,5,7,-1.3419088661944656,-10.221190039498017
10,10,9,6,9,6,6,5,6,5,5,6,5,5,5,5,5,7,7,5,6,6,10,6,6,5,6,7,7,6,5,7,7,10,5,6,5,4,6,5,10,5,5,5,6,5,9,7,5,6,6,6,5,6,5,6,6,5,6,5,5,5,7,6,5,5,6,5,6,6,6,5,5,5,6,6,7,5,7,7,8,7,5,5,5,6,7,6,6,6,10,5,5,5,6,6,5,6,5,7,-1.6489469925557463,-9.707324235107926
10,10,9,6,9,5,6,5,6,5,5,6,5,5,5,5,10,6,7,5,6,6,10,6,6,5,6,7,7,6,5,7,7,9,5,6,5,5,6,5,10,5,6,5,6,10,6,6,5,6,6,6,5,6,6,9,9,6,5,5,5,5,7,6,5,5,7,5,5,6,6,10,5,5,6,9,8,6,7,6,8,7,5,10,5,6,7,6,6,6,6,10,6,5,9,6,5,6,5,7,-1.4354902661891995,-9.946255416593347
10,10,9,9,9,5,6,5,6,5,5,6,5,5,5,5,5,6,7,5,6,6,10,6,6,5,6,7,7,6,5,7,8,9,5,6,5,5,6,5,10,5,6,5,6,10,6,6,5,6,6,6,5,6,6,9,9,6,6,5,5,5,7,6,6,5,7,5,5,6,6,10,5,5,6,9,8,6,7,6,8,7,5,10,5,6,7,6,6,6,6,10,6,5,9,6,5,6,5,7,-1.3379361868050907,-10.289082224084503
10,10,9,9,9,5,6,5,6,5,5,6,5,5,5,5,5,6,7,5,6,6,10,6,6,5,6,7,7,6,5,7,7,6,5,6,5,5,6,5,10,5,6,5,6,10,6,6,5,6,6,6,6,6,6,9,9,6,6,5,5,5,7,6,5,5,7,5,5,6,6,10,5,5,6,9,8,6,7,6,8,7,5,10,5,6,7,6,6,6,6,10,6,5,9,6,5,6,5,7,-1.3713112205535536,-10.117485848952562
5,8,6,6,5,5,6,5,7,4,6,6,5,5,5,5,5,7,4,5,6,4,5,7,6,5,5,4,5,5,5,6,7,6,5,9,5,5,6,5,10,5,5,5,6,5,5,5,5,6,6,6,5,6,5,7,6,5,5,5,6,5,7,7,5,5,6,5,5,6,7,9,5,5,6,6,9,5,6,6,7,4,5,10,5,6,7,6,5,6,6,5,5,5,9,6,6,4,6,7,-2.832501727954943,-9.530299987312612
10,10,9,9,9,5,6,5,6,5,6,6,5,5,5,5,5,6,7,5,6,6,5,6,6,5,6,7,7,6,5,7,7,6,5,6,5,5,6,5,10,5,6,5,6,10,6,6,5,6,6,6,5,6,6,8,8,6,6,5,5,5,7,6,5,5,7,5,5,6,6,10,5,5,6,9,7,6,7,6,8,7,5,10,5,6,6,6,5,6,6,10,6,5,9,6,5,6,5,7,-1.3527393347892278,-10.191621995400032
