upstream_flooding,water_demand,electricity_demand
-26.72928252593337,-9.313700119901409,-0.012809003202746996
-26.20922518353315,-9.226508753143913,-0.014815989337015579
-5.463076820114595,-9.230601727835383,-0.34347645428500595
-7.1253022850649845,-9.052891435312791,-0.32725002259569885
-10.851087623389027,-9.139267053679275,-0.20064020010277933
-25.57807399366123,-9.276988876904182,-0.016155534299640905
-32.36157551483242,-9.333154492436512,-0.00443558367249793
-1.809121415158927,-10.49428710230523,-0.5990267439720915
-2.2424893632322282,-9.625805905498517,-0.5455180441332541
-27.768842817742218,-9.32170341339776,-0.01117210381163238
-9.894413099331116,-9.202560122261144,-0.23042849477991512
-13.045474724031322,-9.17536052370601,-0.11446164362244042
-29.175951769426316,-9.356344162364774,-0.00792701493354802
-5.747537198968194,-9.521484709473775,-0.288329678657061
-7.024392618428316,-9.039984726065285,-0.3320701978899152
-11.914767412043991,-9.084316016636341,-0.16713039379392938
-4.319506071619659,-9.451530865709628,-0.3495154665421593
-2.8727659013591222,-9.351126703257767,-0.5339789270899928
-30.27875449264367,-9.323277075833401,-0.007121120037612012
-4.266288113975243,-10.53358668466864,-0.34987369195190354
-25.04707556760383,-9.273905808388497,-0.01736965726066692
-3.5735243603823137,-9.948005136670684,-0.38323766800488324
-10.725941475248804,-9.097941936243775,-0.20680250661148863
-24.891852262990287,-9.33394437740751,-0.017794227528340454
-2.3297390719047755,-9.595696645363272,-0.5460147075167031
-2.083432446476619,-9.841190926719621,-0.56052384585616
-14.768742070921,-9.149330832010499,-0.09229168676369394
-25.931055671553125,-9.31042636204312,-0.01477215305304116
-5.790156412598388,-8.976895816786637,-0.4787726178041512
-3.1856541892680443,-9.458667516711152,-0.44476732245921113
-4.2768849380885445,-9.794258316974785,-0.33833864120124024
-25.53554514023024,-9.321689439128322,-0.016088035269710657
-31.608100566554103,-9.357260592600845,-0.004724667454903235
-16.461825970578097,-9.179828243504396,-0.06820564815712117
-4.169338764576586,-9.436679021013111,-0.3672733964876395
-9.941895099637073,-9.151194940476524,-0.22662668988398055
-8.037835791607339,-9.021664040913569,-0.29428587722690275
-19.573996346295306,-9.186145022335662,-0.04140755662876208
-4.5643323837140475,-9.356943870992517,-0.356630142461875
-4.06806673533268,-9.155594777352958,-0.5230320035732005
-1.897476924408165,-10.280991816772204,-0.5890753659509764
-8.420179121003976,-9.074260097324803,-0.27249874311682265
-29.83026351812551,-9.370091254366075,-0.0072013189954100425
-5.3420779786307415,-8.934389347612623,-0.5091005098246207
-12.445634923105425,-9.108449925816478,-0.1407460107191478
-9.588772302242402,-9.045017324444965,-0.24063432004014537
-22.172783320019988,-9.228283713527802,-0.02726771615637864
-4.031657524820078,-9.172527865907178,-0.5220076043786205
-8.325443191104803,-8.99944454209346,-0.27963211168289626
-18.30409829312072,-9.169021152336644,-0.05263201918091046
-22.9975747424316,-9.216558882462225,-0.025190901062465337
-2.441844600766497,-9.901050431068722,-0.5169491987119549
-1.8991461481563319,-10.219323534554565,-0.579935909994555
-9.265610458648014,-9.48750669410762,-0.21532010350190894
-8.222898751083337,-9.041017292449578,-0.2768198235412972
-6.585626926013919,-9.009441171896375,-0.3692329039821761
-5.950108893101967,-8.962319690138424,-0.4297512472236108
-37.001996321234024,-9.369644847868498,-0.0016671650643045074
-4.419279092062434,-9.591807565006242,-0.3323104576701026
-11.194581115965843,-9.159327566649653,-0.18918780876089678
-15.861310943013502,-9.160368047255409,-0.07975764386575657
-39.31301457667208,-9.427039461555527,-0.0014798648097589973
-9.200116307159366,-9.026617448247082,-0.2521456118071079
-22.832840438468057,-9.249056879497672,-0.025259925456251935
-33.39042714102372,-9.333748504294828,-0.0035670261966429177
-5.732966357212163,-9.595912903860823,-0.28711145706886687
-3.3700425548120467,-9.5743291859969,-0.4073911879088831
-7.992145326232244,-9.71006167594314,-0.23830075627682287
-5.991395469563711,-9.498209461479687,-0.28831156986410855
-4.475451760761371,-9.403787197790853,-0.36575164769127516
-2.0788507578744873,-9.841957767090252,-0.5618329742318838
-5.3831157475224085,-9.046078262355108,-0.4759767253549777
-27.172427612817103,-9.30596614561533,-0.011741130411983054
-11.080505905685321,-9.012646006241358,-0.21663639044060215
-3.5910566523175267,-9.741870002083228,-0.3831677938342815
-5.290981567514307,-9.290283564784033,-0.34932065781806465
-3.578249923040595,-9.887875055860892,-0.38265390251897263
-24.74647244539001,-9.245626228509362,-0.01827524315738344
-5.5555290266862585,-9.386607127074711,-0.30860579078941064
-3.0687918988340965,-9.86202565578244,-0.41949061526803527
-6.99106764932147,-9.121972328037174,-0.2936039448632864
-20.03148601040231,-9.231977308632093,-0.038523870915426965
-13.274056076284912,-9.172655386773927,-0.1079217302359119
-6.137384971244106,-9.699504197113466,-0.2792873051241377
-26.919576008445823,-9.275651255502682,-0.011849454356587828
-25.47885081533694,-9.24963608328984,-0.016915451250985133
-9.035529244155587,-9.007940114526296,-0.25696016626752877
-15.4592731011109,-9.188482744200435,-0.08270077971384447
-13.158544385082806,-9.12956395880825,-0.12315929868662727
-10.717621151199248,-9.08010537918149,-0.20946429251236182
-7.27339150336168,-8.995276190720492,-0.33151663403308823
-15.654839912094605,-9.158791430274418,-0.08008185506977097
-30.049484031642926,-9.34289802757766,-0.00731906480939443
-10.958271526337374,-9.037747986542913,-0.2057873442994059
-5.751647623756381,-8.954772057766688,-0.4931708602770541
-6.215525629389206,-9.532921174468221,-0.2827873712858586
-5.269168082796225,-8.985018392650272,-0.5105907678491569
-15.724598382648264,-9.21559757894235,-0.07973176014704333
-6.4748997277090075,-9.026324531741688,-0.3659719476449909
-7.034836762302603,-9.03526272894809,-0.3307504870547591
-10.086330940074625,-9.295010949825384,-0.21435741730515845
-5.73703472726898,-9.1152271434412,-0.3736594797760997
-7.269935720971729,-9.001876333046608,-0.32861864191609613
-30.82086679157486,-9.312760745975341,-0.005887178744310575
-5.548121614476375,-8.925573711094572,-0.5054309128644764
-7.238363419480828,-9.260699338917721,-0.2770940936748671
-7.451835120030064,-9.089717662402922,-0.2951379828210066
-6.596422905579877,-8.978862309581764,-0.3852146302529125
-12.012706870707074,-9.104359991155212,-0.16104634714942215
-11.240560577217517,-9.112166678932425,-0.18542477361511106
-3.5322386339036322,-9.681838225994237,-0.3865130173858432
-2.376974574090452,-9.49960307979121,-0.536955070998898
-11.932161688281813,-9.163781992584548,-0.1576854917826249
-7.989525900062684,-9.041374491884348,-0.28616234292038323
-3.6299032386880534,-9.679730590695257,-0.3789566398952483
-21.199176481475376,-9.22852064887009,-0.032693473923951104
-28.87214146866664,-9.249729136877423,-0.008851368583981743
-1.844292142142644,-10.385706962240128,-0.5935454418712223
-3.7336877469957135,-9.532287629697825,-0.386443700769507
-5.084994237461386,-9.465380542176142,-0.32425260002946754
-2.1080265240563953,-9.8012325057872,-0.5570125406338436
-34.933685983397766,-9.421084483575653,-0.003026317570725173
-25.69706058947756,-9.349206071988869,-0.015561963534483627
-4.730992903171819,-9.436686484747229,-0.337169017416144
-11.322920654300592,-9.130265472419905,-0.18423016967699402
-2.0223583116179364,-9.916183871757752,-0.5644898652425563
-35.693723908285854,-9.392625302150615,-0.0020909320114615533
-9.405336269290641,-9.180145689962261,-0.23244169891567373
-4.245021196762217,-9.233743843355988,-0.42225689330250343
-2.1360516700824514,-9.78320315641057,-0.5557486921859688
-12.68488703059054,-9.179659441324091,-0.13124885006648176
