upstream_flooding,water_demand,electricity_demand
-33.89454337026544,-9.313098950001724,-0.0035594097020704607
-6.774787469797966,-8.986435434005685,-0.36382082960391243
-24.796301275697637,-9.248266532584243,-0.0173343620637953
-23.54360562367114,-9.317049293845177,-0.021215588681516087
-19.615339198433325,-9.221060979669652,-0.04230547561694428
-41.85224696588947,-9.402659582105986,-0.0007790271771562634
-25.45816453815133,-9.250740282963605,-0.016094019357054245
-36.461870723599496,-9.433617932778652,-0.0019720587023281935
-15.155609254505201,-9.181925927807944,-0.0858160607768198
-1.7660024153168081,-9.980080917893176,-0.5681050616322652
-36.53114174325032,-9.389458147346705,-0.001926907462618764
-51.94869367012976,-9.6082,-4.8914378497543386e-05
-9.698179156777067,-9.018765267901122,-0.23978611002495107
-33.57571149852636,-9.409312588353274,-0.0037039106873748974
-23.326709995514648,-9.218547776156804,-0.023614802715999743
-41.25924682724337,-9.4544,-0.0006721123709809785
-26.287390956493766,-9.294622440739863,-0.014381484312667754
-19.411600500791096,-9.262463168921942,-0.04338153659705423
-12.420950897368105,-9.099969802952149,-0.11224966258709852
-12.357839148015133,-9.144437533753775,-0.13414765709392748
-29.242282255234013,-9.341034161027757,-0.008202942519482817
-3.1507728971355653,-9.326256580606492,-0.5341920708806202
-15.395946997907371,-9.19756739864025,-0.08438818895163877
-21.375999777936563,-9.222647550785812,-0.030991201407374096
-27.717861501409388,-9.310615867154842,-0.010817726700324232
-61.75292444451664,-9.679,0.0
-6.766435560238766,-9.039027307214983,-0.3576594657765075
-1.564485847141132,-10.533418315740903,-0.6050720507453214
-28.1472251050087,-9.273923094500471,-0.010630585334510037
-20.074137608474594,-9.235484907719437,-0.039377813819035955
-8.258744177642926,-9.07914974529435,-0.2770038546479569
-17.37072713870805,-9.189808666003932,-0.06048321575811303
-37.88161071652789,-9.38152892227983,-0.0012899198562927431
-9.144377126329358,-9.090848196641618,-0.24545244256338267
-29.28261969578252,-9.333072802382262,-0.008389311607469556
-14.804271274494804,-9.1753418368297,-0.08953270025204361
-3.13003092488563,-9.35625394804728,-0.5315060780159601
-4.580524123115782,-9.07454283509908,-0.5184456995622253
-24.53638849110343,-9.283403905289529,-0.014591073747740381
-31.980453609318683,-9.285113235485792,-0.004878488186268736
-27.730116855892817,-9.27752299884667,-0.011192341576486306
-29.397712676270764,-9.315963448564863,-0.007479920328167111
-1.5696147987248952,-10.540639547250867,-0.6050670000575077
-19.651894703340943,-9.232661376752487,-0.04126636770997955
-19.009519365522973,-9.177828362549494,-0.04746925058833712
-31.49154971209014,-9.414146275415398,-0.005143427893378714
-5.534339692303747,-8.91096011064743,-0.5064409229558242
-1.6543348287326363,-10.23802500915675,-0.5831205563372189
-5.375983422175056,-8.975701694668526,-0.5088361903470424
-3.353404222012487,-9.224861266890416,-0.5203679490217322
-42.33001628468913,-9.490411514373696,-0.0006315861715628308
-29.486400595175503,-9.332623636287156,-0.0074705111713994285
-26.813174070769076,-9.310630945815413,-0.013006181039061475
-23.896936900071374,-9.26752840918994,-0.02063490357466723
-55.22330540414539,-9.599200000000002,-2.4654305008143994e-05
-14.549451850574169,-9.183645047480995,-0.09811887356082141
-28.257393663793216,-9.325318110667734,-0.00901681224342196
-46.709786278449904,-9.5246,-0.00014797981240834853
-13.916490086112615,-9.075581198126516,-0.10809835222377742
-5.497843385419234,-8.938956673028022,-0.5076732727098555
-19.903577460503083,-9.22428006710525,-0.03987130392184663
-14.439495651650786,-9.136985277843568,-0.10078301553112576
-5.85333831538035,-9.004832220573872,-0.4659749329659254
-1.9753574681022719,-9.669278201366671,-0.5466811793048559
-3.1694677229154276,-9.444053048309877,-0.5112076802893857
-22.67444445063497,-9.289559573170203,-0.02521024398682002
-39.54156861336925,-9.529,-0.0010751628597386988
-2.1221599364722885,-10.038787541742611,-0.5151987999169696
-14.552994310998596,-9.173487237899044,-0.09526804699727723
-22.858945027702656,-9.255353594829572,-0.023507586210914363
-26.91177447873666,-9.266071732669118,-0.01248667766299869
-43.253478188224,-9.509611008061443,-0.00039460567760456135
-18.465109463056507,-9.166882219051363,-0.050067318304344306
-20.66434669281728,-9.157809799268932,-0.03469017713295247
-43.25868648021157,-9.492,-0.00043539912026589246
-16.306023936787813,-9.202814612988607,-0.05876206723334816
-50.4739485784962,-9.5276,-8.95972730386246e-05
