upstream_flooding,water_demand,electricity_demand
-6.429966869435107,-8.933444056361935,-0.4094536577913257
-9.037751801228692,-9.121046936095558,-0.2555312999150536
-5.49114701992367,-9.265779512815135,-0.33246390974258555
-1.8067919680027111,-10.49761631180672,-0.6052747836931571
-18.744027748489092,-9.26062337283206,-0.048002589202757504
-5.739629046715958,-8.969274796605237,-0.48358805896559726
-14.950149483943786,-9.139482951066912,-0.08868005545404435
-5.883703711122381,-9.130487321294554,-0.3676408382050592
-10.79816392973809,-9.059030601100929,-0.20756833911558406
-25.00609991687499,-9.313164578299919,-0.01743680208871148
-5.220544662260674,-9.274355817500938,-0.34721441747693277
-8.059589063618807,-9.006623618197965,-0.288013094308729
-3.6182874236762674,-9.527975523158918,-0.40325082358255454
-6.402272773085105,-8.938359992569273,-0.40299914244771956
-21.28188721126063,-9.220303327096495,-0.03198315786897841
-6.646129612116117,-8.98445306699233,-0.3777961168606547
-6.117528576493717,-9.026334320965011,-0.3646322875452981
-6.3307434091680985,-9.170777579070414,-0.32024387327099546
-28.770156235436254,-9.305151669240502,-0.00843816238356583
-6.8405298846897855,-8.958499638102428,-0.35685175075149866
-30.913141182886424,-9.32183070153568,-0.006664914596902152
-12.638180747095365,-9.138231385086742,-0.13452947376851243
-15.588020143767347,-9.162412170880561,-0.08167685801702956
-31.96332146921034,-9.349834099254258,-0.004777209978552123
-6.211668524342943,-8.996638730451286,-0.42055097287352544
-6.737872696593122,-9.130490032192817,-0.31461476696573787
-2.1016780182445802,-9.828723385204698,-0.5613424054636513
-6.127121067668303,-8.96415407083099,-0.4455107371451304
-49.07071036365101,-9.494900000000001,-0.00015852921939025593
-30.070753312134794,-9.351753867703014,-0.007043127241787314
-18.75882732231964,-9.19609952893603,-0.0479821087195279
-19.054237043747627,-9.18820955154862,-0.04674375198165613
-33.62221896182532,-9.407753455657216,-0.0037466258371994573
-5.659837260805093,-8.999599494491845,-0.4974547216671758
-5.771830602871564,-9.177680001062697,-0.34475012774497943
-5.057409708288843,-9.213629353871001,-0.3703138810835056
-11.228023190050536,-9.111338126262279,-0.18498753766695278
-8.351710749577695,-9.011113733729784,-0.27576900181985675
-14.234777202176694,-9.114211337051275,-0.09955456111525363
-10.834684394266112,-9.128206343495313,-0.20188605756351868
-25.861518480422724,-9.265568082744391,-0.015201715776580376
-13.707666930420642,-9.149045854702626,-0.10915137772165238
-2.3063653762840586,-9.559832920274683,-0.5419739796360519
-5.315240852690456,-9.41730211474538,-0.3240496039454914
-7.244166372408549,-9.053369999083458,-0.32551778955984234
-6.256926271786689,-9.202701713475236,-0.3150565829052142
-7.632084270827435,-9.057364865094861,-0.30662997295041977
-15.133569441573451,-9.135555139060699,-0.08630870262911836
-41.312420330748274,-9.516462455600886,-0.0006784744357698919
-3.7175636463244417,-9.167078047257103,-0.520545491018506
-20.455248393714893,-9.163327126821802,-0.03717721171049094
-5.486055841417134,-8.954112274618652,-0.5069171704072999
-14.145492128313682,-9.129115639294325,-0.10191772074728273
-14.412058406222197,-9.124520216934659,-0.09790699181411808
-8.63883508882972,-9.017014023583814,-0.27039569420336745
-7.348207060861034,-9.157820304864577,-0.2997771978497617
-2.668874524142557,-10.038956988011178,-0.4585467452375162
-8.673778899984631,-9.140379202231271,-0.2643798234909111
-12.489880314158112,-9.183879469175114,-0.12575038766220684
-4.696398742904867,-9.63456352672583,-0.33173835169065696
-6.732276090466303,-9.03383097144337,-0.34184663335586263
-18.28691576790571,-9.127649436808552,-0.05177447892994354
-6.157055357660891,-9.156860285358325,-0.34013062808048455
-6.636165479587293,-8.9776827451125,-0.381432839201723
-12.369278448448672,-9.148240134680691,-0.14051799683321653
-6.09803170048148,-9.39579931209618,-0.29101635409000354
